,pos,neg,sum,pos_pct
A,236,98.0,334.0,0.7065868263473054
AA,1,,1.0,1.0
AB,868,405.0,1273.0,0.6818538884524745
AC,4006,1950.0,5956.0,0.6725990597716588
AD,200,65.0,265.0,0.7547169811320755
AE,437,243.0,680.0,0.6426470588235295
AF,2416,1152.0,3568.0,0.6771300448430493
AG,1057,655.0,1712.0,0.6174065420560748
AH,583,214.0,797.0,0.7314930991217063
AI,204,109.0,313.0,0.6517571884984026
AJ,569,303.0,872.0,0.6525229357798165
AK,1,,1.0,1.0
B,932,426.0,1358.0,0.6863033873343152
C,568,139.0,707.0,0.8033946251768034
D,100,42.0,142.0,0.704225352112676
E,255,69.0,324.0,0.7870370370370371
F,213,20.0,233.0,0.9141630901287554
G,11138,5114.0,16252.0,0.6853310361801624
H,35,6.0,41.0,0.8536585365853658
I,1837,768.0,2605.0,0.7051823416506718
J,235,87.0,322.0,0.7298136645962733
L,323,154.0,477.0,0.6771488469601677
M,5993,1381.0,7374.0,0.8127203688635747
N,927,259.0,1186.0,0.781618887015177
O,75,25.0,100.0,0.75
P,1299,676.0,1975.0,0.6577215189873418
Q,415,179.0,594.0,0.6986531986531986
R,134,47.0,181.0,0.7403314917127072
S,357,257.0,614.0,0.5814332247557004
T,1330,278.0,1608.0,0.8271144278606966
U,436,176.0,612.0,0.7124183006535948
V,1048,625.0,1673.0,0.6264196054991034
W,1029,468.0,1497.0,0.687374749498998
X,1081,554.0,1635.0,0.6611620795107034
Y,792,490.0,1282.0,0.6177847113884556
Z,327,126.0,453.0,0.7218543046357616
