,pos,neg,sum,pos_pct
AA,4.0,1.0,5.0,0.8
AAA,3.0,,3.0,1.0
AAAA,1.0,,1.0,1.0
AAAB,12.0,1.0,13.0,0.9230769230769231
AAAC,2.0,,2.0,1.0
AAAE,2.0,,2.0,1.0
AAAF,1.0,,1.0,1.0
AAAG,,2.0,2.0,
AAAH,,1.0,1.0,
AAAK,35.0,17.0,52.0,0.6730769230769231
AAAN,3.0,,3.0,1.0
AAAP,2.0,,2.0,1.0
AAAR,3.0,,3.0,1.0
AAAS,1.0,,1.0,1.0
AAAU,4.0,,4.0,1.0
AAAV,3.0,,3.0,1.0
AAAW,1.0,,1.0,1.0
AAAX,2.0,,2.0,1.0
AAAY,8.0,2.0,10.0,0.8
AAAZ,2.0,,2.0,1.0
AAB,2.0,1.0,3.0,0.6666666666666666
AABB,31.0,6.0,37.0,0.8378378378378378
AABC,2.0,,2.0,1.0
AABD,1.0,,1.0,1.0
AABE,1.0,1.0,2.0,0.5
AABF,11.0,1.0,12.0,0.9166666666666666
AABH,1.0,,1.0,1.0
AABI,22.0,2.0,24.0,0.9166666666666666
AABJ,1.0,,1.0,1.0
AABL,5.0,1.0,6.0,0.8333333333333334
AABM,,2.0,2.0,
AABN,1.0,,1.0,1.0
AABO,2.0,1.0,3.0,0.6666666666666666
AABP,4.0,2.0,6.0,0.6666666666666666
AABQ,6.0,2.0,8.0,0.75
AABR,1.0,,1.0,1.0
AABS,,1.0,1.0,
AABU,1.0,,1.0,1.0
AABW,5.0,1.0,6.0,0.8333333333333334
AABX,1.0,,1.0,1.0
AAC,8.0,2.0,10.0,0.8
AACA,4.0,,4.0,1.0
AACB,3.0,,3.0,1.0
AACC,1.0,,1.0,1.0
AACD,3.0,,3.0,1.0
AACF,4.0,2.0,6.0,0.6666666666666666
AACG,1.0,,1.0,1.0
AACH,3.0,,3.0,1.0
AACI,1.0,,1.0,1.0
AACJ,3.0,,3.0,1.0
AACK,,1.0,1.0,
AACL,2.0,,2.0,1.0
AACM,1.0,,1.0,1.0
AACN,1.0,1.0,2.0,0.5
AACP,1.0,,1.0,1.0
AACQ,1.0,1.0,2.0,0.5
AACR,1.0,,1.0,1.0
AACS,1.0,,1.0,1.0
AACT,1.0,3.0,4.0,0.25
AACU,1.0,,1.0,1.0
AACV,7.0,3.0,10.0,0.7
AACZ,2.0,,2.0,1.0
AAD,8.0,2.0,10.0,0.8
AADB,2.0,,2.0,1.0
AADC,1.0,1.0,2.0,0.5
AADE,1.0,2.0,3.0,0.3333333333333333
AADF,5.0,2.0,7.0,0.7142857142857143
AADH,,1.0,1.0,
AADJ,1.0,,1.0,1.0
AADK,1.0,,1.0,1.0
AADL,1.0,,1.0,1.0
AADN,1.0,,1.0,1.0
AADP,14.0,5.0,19.0,0.7368421052631579
AADQ,1.0,,1.0,1.0
AADR,3.0,,3.0,1.0
AADS,1.0,,1.0,1.0
AADT,,1.0,1.0,
AADU,1.0,,1.0,1.0
AADV,1.0,,1.0,1.0
AADW,1.0,,1.0,1.0
AADY,1.0,1.0,2.0,0.5
AADZ,4.0,,4.0,1.0
AAE,2.0,1.0,3.0,0.6666666666666666
AAEA,1.0,,1.0,1.0
AAEB,1.0,,1.0,1.0
AAEE,1.0,,1.0,1.0
AAEF,71.0,22.0,93.0,0.7634408602150538
AAEG,2.0,1.0,3.0,0.6666666666666666
AAEH,1.0,,1.0,1.0
AAEI,5.0,,5.0,1.0
AAEJ,1.0,,1.0,1.0
AAEK,3.0,,3.0,1.0
AAEL,3.0,,3.0,1.0
AAEM,2.0,,2.0,1.0
