,pos,neg,sum,pos_pct
A,183,3.0,186.0,0.9838709677419355
AA,53,7.0,60.0,0.8833333333333333
AB,2,,2.0,1.0
AC,11,,11.0,1.0
AE,1,1.0,2.0,0.5
AF,1808,547.0,2355.0,0.7677282377919321
AG,1773,391.0,2164.0,0.8193160813308688
AH,22,3.0,25.0,0.88
AI,286,37.0,323.0,0.8854489164086687
AJ,2,,2.0,1.0
AK,55,14.0,69.0,0.7971014492753623
AL,931,35.0,966.0,0.9637681159420289
AM,2,,2.0,1.0
AN,99,79.0,178.0,0.5561797752808989
AO,171,40.0,211.0,0.8104265402843602
AP,1,,1.0,1.0
AR,235,25.0,260.0,0.9038461538461539
AS,6877,1955.0,8832.0,0.7786458333333334
AT,3,1.0,4.0,0.75
AU,14,3.0,17.0,0.8235294117647058
AV,5,,5.0,1.0
AW,5337,1032.0,6369.0,0.8379651436646255
AX,1,,1.0,1.0
AY,22,12.0,34.0,0.6470588235294118
AZ,340,57.0,397.0,0.8564231738035264
B,3,,3.0,1.0
BA,359,35.0,394.0,0.9111675126903553
BC,1,,1.0,1.0
BD,38,3.0,41.0,0.926829268292683
BE,3,,3.0,1.0
BF,50,4.0,54.0,0.9259259259259259
BG,49,13.0,62.0,0.7903225806451613
BH,108,10.0,118.0,0.9152542372881356
BI,95,2.0,97.0,0.979381443298969
BJ,1996,349.0,2345.0,0.8511727078891258
BK,796,125.0,921.0,0.8642779587404995
BL,2619,951.0,3570.0,0.7336134453781512
BM,840,37.0,877.0,0.9578107183580388
BN,2,1.0,3.0,0.6666666666666666
BO,2,,2.0,1.0
BP,6,,6.0,1.0
BQ,598,18.0,616.0,0.9707792207792207
BR,6,,6.0,1.0
BS,58,5.0,63.0,0.9206349206349206
BT,2,,2.0,1.0
BU,54,3.0,57.0,0.9473684210526315
BV,1480,419.0,1899.0,0.7793575566087414
BW,8752,2599.0,11351.0,0.7710333891287111
BX,1099,288.0,1387.0,0.7923576063446287
BY,52,9.0,61.0,0.8524590163934426
BZ,5158,2016.0,7174.0,0.7189852244215221
C,97,8.0,105.0,0.9238095238095239
CA,18,13.0,31.0,0.5806451612903226
CB,12,1.0,13.0,0.9230769230769231
CC,94,59.0,153.0,0.6143790849673203
CD,2,,2.0,1.0
CE,1,,1.0,1.0
CF,133,8.0,141.0,0.9432624113475178
CG,1,,1.0,1.0
CH,45,17.0,62.0,0.7258064516129032
CI,180,42.0,222.0,0.8108108108108109
CJ,1,,1.0,1.0
CK,1,,1.0,1.0
CL,8,1.0,9.0,0.8888888888888888
CM,249,144.0,393.0,0.6335877862595419
CN,2349,1396.0,3745.0,0.6272363150867823
CO,53,13.0,66.0,0.803030303030303
CP,539,59.0,598.0,0.9013377926421404
CQ,5,1.0,6.0,0.8333333333333334
CS,621,77.0,698.0,0.8896848137535817
CT,9,,9.0,1.0
CV,5,,5.0,1.0
CW,7,2.0,9.0,0.7777777777777778
CX,7,,7.0,1.0
CY,3355,475.0,3830.0,0.8759791122715405
CZ,1,,1.0,1.0
D,1,,1.0,1.0
DA,570,124.0,694.0,0.8213256484149856
DB,1,,1.0,1.0
DC,1,,1.0,1.0
DD,2,,2.0,1.0
DE,16,2.0,18.0,0.8888888888888888
DF,672,447.0,1119.0,0.6005361930294906
DG,22,4.0,26.0,0.8461538461538461
DH,1072,226.0,1298.0,0.8258859784283513
DI,8834,1422.0,10256.0,0.8613494539781591
DJ,1242,418.0,1660.0,0.7481927710843373
DK,70,16.0,86.0,0.813953488372093
DL,104,13.0,117.0,0.8888888888888888
DM,94,8.0,102.0,0.9215686274509803
DN,64,17.0,81.0,0.7901234567901234
DO,3287,2002.0,5289.0,0.6214785403667991
DP,3467,1180.0,4647.0,0.7460727350979126
DQ,5,4.0,9.0,0.5555555555555556
DR,822,110.0,932.0,0.8819742489270386
DS,1148,365.0,1513.0,0.7587574355584931
DT,3,,3.0,1.0
DU,8,7.0,15.0,0.5333333333333333
DV,11,4.0,15.0,0.7333333333333333
DW,5,1.0,6.0,0.8333333333333334
DX,1458,637.0,2095.0,0.6959427207637231
DY,1255,716.0,1971.0,0.6367326230339929
DZ,76,4.0,80.0,0.95
E,4,,4.0,1.0
F,10,1.0,11.0,0.9090909090909091
G,515,255.0,770.0,0.6688311688311688
H,2,,2.0,1.0
I,1,,1.0,1.0
L,2,,2.0,1.0
M,2,,2.0,1.0
N,1339,299.0,1638.0,0.8174603174603174
O,2,,2.0,1.0
P,2665,2332.0,4997.0,0.5333199919951971
Q,6,,6.0,1.0
R,473,122.0,595.0,0.7949579831932773
T,1,,1.0,1.0
U,1426,249.0,1675.0,0.8513432835820895
V,1346,131.0,1477.0,0.9113067027758971
W,7,,7.0,1.0
X,1,,1.0,1.0
Y,188,126.0,314.0,0.5987261146496815
Z,184,15.0,199.0,0.9246231155778895
