,pos,neg,sum,pos_pct
A,1175,353,1528,0.768979057591623
AA,420,122,542,0.7749077490774908
AB,145,44,189,0.7671957671957672
AC,1451,494,1945,0.7460154241645244
AD,377,109,486,0.7757201646090535
AE,641,192,833,0.7695078031212484
AF,883,233,1116,0.7912186379928315
AG,697,234,931,0.748657357679914
AH,259,84,343,0.7551020408163265
AI,673,232,905,0.7436464088397791
AJ,64,18,82,0.7804878048780488
AK,4042,1295,5337,0.7573543189057523
AL,797,234,1031,0.7730358874878759
AM,336,108,444,0.7567567567567568
AN,1204,335,1539,0.7823261858349577
AO,509,135,644,0.7903726708074534
AP,2423,987,3410,0.7105571847507332
AQ,362,107,469,0.7718550106609808
AR,1665,564,2229,0.746971736204576
AS,328,99,427,0.7681498829039812
AT,857,257,1114,0.7692998204667864
AU,860,250,1110,0.7747747747747747
AV,400,138,538,0.7434944237918215
AW,589,177,766,0.7689295039164491
AX,8,5,13,0.6153846153846154
AY,800,242,1042,0.7677543186180422
AZ,1904,512,2416,0.7880794701986755
B,1775,599,2374,0.7476832350463353
BA,267,82,349,0.7650429799426934
BB,56,12,68,0.8235294117647058
BC,296,98,394,0.751269035532995
BD,1897,555,2452,0.7736541598694943
BE,672,192,864,0.7777777777777778
BF,400,111,511,0.7827788649706457
BG,279,76,355,0.7859154929577464
BH,889,256,1145,0.7764192139737991
BI,572,148,720,0.7944444444444444
BJ,3428,1037,4465,0.7677491601343785
BK,1118,359,1477,0.7569397427217333
BL,923,291,1214,0.7602965403624382
BM,4309,1450,5759,0.7482201771140823
BN,678,232,910,0.7450549450549451
BO,752,218,970,0.7752577319587629
BP,392,112,504,0.7777777777777778
BQ,547,140,687,0.7962154294032023
BR,499,143,642,0.7772585669781932
BS,176,64,240,0.7333333333333333
BT,314,93,407,0.7714987714987716
BU,1061,308,1369,0.775018261504748
BV,599,207,806,0.7431761786600496
BW,1852,626,2478,0.7473769168684423
BX,996,301,1297,0.7679259830377795
BY,2435,876,3311,0.7354273633343401
BZ,2,1,3,0.6666666666666666
C,414,100,514,0.8054474708171206
CA,1175,348,1523,0.7715036112934996
CB,517,156,673,0.7682020802377415
CC,825,257,1082,0.7624768946395564
CD,1581,478,2059,0.7678484701311317
CE,896,268,1164,0.7697594501718213
CF,709,218,927,0.7648327939590076
CG,2931,895,3826,0.7660742289597491
CH,520,181,701,0.7417974322396577
CI,326,71,397,0.8211586901763224
CJ,1060,386,1446,0.7330567081604425
CK,499,124,623,0.8009630818619583
CL,354,107,461,0.7678958785249458
D,728,241,969,0.7512899896800825
E,1908,613,2521,0.7568425228084094
F,169,52,221,0.7647058823529411
G,1979,615,2594,0.7629144178874325
H,2428,784,3212,0.7559153175591532
I,200,53,253,0.7905138339920948
J,696,211,907,0.7673649393605292
K,2133,702,2835,0.7523809523809524
L,1863,639,2502,0.7446043165467626
M,492,144,636,0.7735849056603774
N,783,250,1033,0.7579864472410455
O,195,53,248,0.7862903225806451
P,1109,354,1463,0.7580314422419686
Q,831,235,1066,0.7795497185741088
R,953,264,1217,0.7830731306491372
S,620,189,809,0.7663782447466008
T,457,158,615,0.7430894308943089
U,857,226,1083,0.791320406278855
V,2437,797,3234,0.7535559678416821
W,673,215,888,0.7578828828828829
X,685,182,867,0.790080738177624
Y,678,202,880,0.7704545454545455
Z,1223,372,1595,0.7667711598746082
