,pos,neg,sum,pos_pct
A,7211,2334,9545,0.7554740701938187
B,2062,626,2688,0.7671130952380952
C,1567,488,2055,0.7625304136253042
D,5692,1635,7327,0.7768527364542105
E,3639,1109,4748,0.7664279696714406
F,16177,5494,21671,0.746481472936182
G,1294,408,1702,0.7602820211515864
H,4318,1333,5651,0.7641125464519554
I,7737,2487,10224,0.7567488262910798
J,2968,999,3967,0.7481724224855054
K,2445,807,3252,0.7518450184501845
L,3474,1005,4479,0.7756195579370395
M,911,282,1193,0.7636211232187762
N,6935,2151,9086,0.7632621615672464
O,2836,825,3661,0.7746517344987708
P,3537,1138,4675,0.7565775401069519
Q,1789,557,2346,0.7625745950554135
R,3206,964,4170,0.7688249400479616
S,641,192,833,0.7695078031212484
T,3060,920,3980,0.7688442211055276
U,3782,1021,4803,0.7874245263377057
V,1441,442,1883,0.7652681890600106
